Security,Ticker,Cost Basis,Shares,Cur Price,Position_Value,Daily_Change_Pct,YTD_Pct,YoY_Pct,Port_Gain_Pct,Pct_Below_52wk,Chan_Range,Week_52_High,Week_52_Low,Sector,Industry
Wisdomtree U.S. Quality Growth Fund,QGRW,50.5,52098,59.369998931884766,3093058.2043533325,-0.419322382554254,1.072518276159526,21.93704977238297,17.564354320563893,2.205524844586682,94.29025575101633,60.70894990492558,37.25867061651175,N/A,N/A
Alphabet Inc.,GOOG,137.21,13082,337.3599853515625,4413343.328369141,1.3915108984336915,6.98971759336596,76.12636805441484,145.87128150394466,1.1167535030094033,98.08446346861636,341.1700134277344,142.26866053002584,Communication Services,Internet Content & Information
"Amazon.com, Inc.",AMZN,145.09,13427,242.32000732421875,3253630.738342285,-1.6837724168988162,6.984550695019316,10.921907844488315,67.01358282736146,6.295436347662001,83.25447585385338,258.6000061035156,161.3800048828125,Consumer Cyclical,Internet Retail
"MercadoLibre, Inc.",MELI,1545.0,1486,2070.6298828125,3076956.005859375,-3.68714931540917,4.911077369337386,19.001717403017242,34.021351638349515,21.721826322742203,37.634033626973235,2645.219970703125,1723.9000244140625,Consumer Cyclical,Internet Retail
Spotify Technology S.A.,SPOT,705.0,1740,531.0800170898438,924079.2297363281,0.20377680940448112,-7.6382578974184785,15.819777378883904,-24.66950112200798,32.346494638236464,23.878506053755885,785.0,451.4280090332031,Communication Services,Internet Content & Information
Veeva Systems Inc.,VEEV,186.46,3286,228.2550048828125,750045.9460449219,-2.124695205353747,3.9933478383011938,7.242533739029968,22.414997791919173,26.487921132749598,24.518180938474288,310.5,201.5399932861328,Healthcare,Health Information Services
"Advanced Micro Devices, Inc.",AMD,214.0,3870,222.19500732421875,859894.6783447266,6.983968757429558,-0.5705436477020319,89.39226721973924,3.8294426748685746,16.805819044738513,76.45069087055603,267.0799865722656,76.4800033569336,Technology,Semiconductors
Microsoft Corporation,MSFT,369.07,2164,467.0799865722656,1010761.0909423828,-2.1166030132319587,-1.2390611576288977,12.784472589410933,26.555934259697516,15.613744448802812,58.95413493024817,553.5024436401114,342.9514979578054,Technology,Software - Infrastructure
"CrowdStrike Holdings, Inc.",CRWD,248.42,4380,466.6400146484375,2043883.2641601562,-0.07494284529778736,2.879321941619908,36.66023145491346,87.84317472362834,17.685659807344674,62.7147636062536,566.9000244140625,298.0,Technology,Software - Infrastructure
"Fortinet, Inc.",FTNT,58.48,18172,77.99500274658203,1417325.1899108887,-0.8454117525647606,0.14767012996911114,-16.876264281635965,33.370387733553414,32.071936114020176,17.617450867207904,114.81999969482422,70.12000274658203,Technology,Software - Infrastructure
"Meta Platforms, Inc.",META,589.0,2264,628.5900268554688,1423127.8208007812,-2.0842008907366356,-3.3547988484201436,3.656264993509669,6.721566528942064,20.938489081276696,47.376021233224094,795.0645257736991,478.71729620364266,Communication Services,Internet Content & Information
NVIDIA Corporation,NVDA,50.0,12295,184.37319946289062,2266868.4873962402,-0.3064793830611107,-2.3705620841606425,38.42499702714202,268.74639892578125,13.10454920442339,77.85766581381786,212.1781954922272,86.60427995314998,Technology,Semiconductors
GE Vernova Inc.,GEV,660.0,1704,649.8900146484375,1107412.5849609375,1.5818176545068914,-4.294230714782319,77.590351097014,-1.5318159623579546,11.03029344031374,83.17222225515992,730.462131188948,251.65787217015742,Industrials,Specialty Industrial Machinery
"Quanta Services, Inc.",PWR,430.0,2581,442.6625061035156,1142511.9282531738,2.3118620525917195,0.6783373083645567,41.033451820827615,2.9447688612827037,6.584966301822365,87.36480011760564,473.86645230333113,226.9060045838258,Industrials,Engineering & Construction
Shopify Inc.,SHOP,74.18,14351,166.49000549316406,2389298.0688323975,-0.8574925536960746,5.90967476162267,63.6104579383526,124.44055741866278,8.617375672570963,86.02581566949206,182.19000244140625,69.83999633789062,Technology,Software - Application
"Cadence Design Systems, Inc.",CDNS,254.5,3476,323.5,1124486.0,-0.6174955317264299,4.220362874067697,10.598290598290598,27.111984282907663,14.065615749777432,65.81444431571987,376.45001220703125,221.55999755859375,Technology,Software - Application
"Arista Networks, Inc.",ANET,57.62,15522,129.67999267578125,2012892.8463134766,5.0721071136841624,-2.9341416531800757,15.127835030598181,125.06073008639578,21.37747619965682,66.58135811607829,164.94000244140625,59.43000030517578,Technology,Computer Hardware
"Netflix, Inc.",NFLX,118.0,17010,89.80000305175781,1527498.0519104004,0.4361921190857902,-1.3078303549291013,6.867871531559948,-23.89830249851033,33.04253858727614,14.787043013907637,134.11500549316406,82.11000061035156,Communication Services,Entertainment
Circle Internet Group,CRCL,84.01,15056,83.05000305175781,1250400.8459472656,0.18094272993720062,-0.5031725923122906,-0.2162685304767395,-1.1427174720178461,72.22314934802472,8.106729581442028,298.989990234375,64.0,Financial Services,Capital Markets
"Axon Enterprise, Inc.",AXON,520.0,2598,648.8599853515625,1685738.2419433594,2.7116023320757807,15.158394053445976,14.099316611881205,24.78076641376202,26.758624044112423,43.10742014842787,885.9199829101562,469.239990234375,Industrials,Aerospace & Defense
Palantir Technologies Inc.,PLTR,39.0,4298,178.85000610351562,768697.3262329102,-0.31213285054517786,6.547125850830203,175.23853010763457,358.5897592397837,13.81553468517829,80.10685704790187,207.52000427246094,63.400001525878906,Technology,Software - Infrastructure
